stock.id,species,stock.name,lat,lon,ocean.basin,state,begin,end,n.years,max.spawners,max.recruits,contact ,comments,source,comments
203,Pink-Odd,W Chig-Pink-Odd,56.06667,158.6756,GOA,AK,1963,2009,24,554700,1346418,,,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",
204,Pink-Even,Perryville-Pink-Even,55.85417,159.3314,GOA,AK,1962,2008,24,395700,592547,,,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",
205,Pink-Odd,Perryville-Pink-Odd,55.85417,159.3314,GOA,AK,1963,2009,24,582100,1480800,,,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",
206,Pink-Even,SE-SC AKPen-Pink-Even,55.5,161,BS,AK,1962,2008,24,5969710,11076199,,,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",Sum of Southeastern and Southcentral Districts
207,Pink-Odd,SE-SC AKPen-Pink-Odd,55.5,161,BS,AK,1963,2009,24,4404450,15767364,,,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",Sum of Southeastern and Southcentral Districts
208,Pink-Even,SW-Unimak-Pink-Even,54.5,163.5,BS,AK,1962,2008,24,2341700,5961135,,,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",Sum of Southwestern and Unimak Districts
209,Pink-Odd,SW-Unimak-Pink-Odd,54.5,163.5,BS,AK,1963,2009,24,2001850,6762894,,,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",Sum of Southwestern and Unimak Districts
210,Pink-Even,NW AKPen-Pink-Even,54.982,163.37,BS,AK,1962,2008,23,216600,558182,,,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",
211,Pink-Odd,NW AKPen-Pink-Odd,54.982,163.37,BS,AK,1963,2009,24,74400,349253,,,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",
212,Pink-Even,Nushagak-Pink-Even,58.62222,158.5911,BS,AK,1958,2002,23,9161784,13510120,,,NA,
213,Pink-Even,Unalakleet-Pink-Even,63.86944,160.7878,BS,AK,1970,2002,13,458387,637424,,,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",
214,Pink-Odd,Unalakleet-Pink-Odd,63.86944,160.7878,BS,AK,1973,2009,15,381150,406597,,,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",
215,Pink-Even,Nome-Pink-Even,64.4828,165.305,BS,AK,1972,2008,19,2212155,2229337,,,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",
216,Pink-Odd,Nome-Pink-Odd,64.4828,165.305,BS,AK,1971,2009,20,920500,925575,,,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",
217,Pink-Even,Moses-Norton-Pink-Even,65.748,161.78,BS,AK,1964,2008,23,1288531,1342124,,,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",Sum of Moses Point and Norton Bay Subdistricts
218,Pink-Odd,Moses-Norton-Pink-Odd,65.748,161.78,BS,AK,1963,2009,24,770401,774122,,,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",Sum of Moses Point and Norton Bay Subdistricts
219,Chinook,Ayakulik-Chinook,57.1978276,-154.53849,GOA,AK,1977,2009,33,24425,31883,,,"Fishery Manuscript Series No. 16-09: Review of Salmon Escapement Goals in the Kodiak
Management Area, 2016 ",NA
220,Chinook,Karluk-Chinook,57.563,-154.3843,GOA,AK,1976,2009,34,13742,19443,,,"Fishery Manuscript Series No. 16-09: Review of Salmon Escapement Goals in the Kodiak
Management Area, 2016 ",NA
221,Chinook,Chignik-Chinook,56.2615981,-158.71224,GOA,AK,1980,2008,29,7633,12008,,,"Fishery Manuscript Series No. 15-02: Review of Salmon Escapement Goals in the Chignik
Management Area, 2015 ",NA
222,Chinook,Nelson-Chinook,55.810523,-161.25646,GOA,AK,1981,1996,16,12561,11131,,,"Fishery Manuscript No. 06-03: Review of Salmon Escapement Goals in the Alaska
Peninsula and Aleutian Islands Management Areas
Report to the Alaska Board of Fisheries, 2004",NA
223,Chinook,Goodnews-Chinook,59.15992,-160.6119,BS,AK,1981,2001,21,6027,9084,,,"Fishery Data Series No. 10-08: Goodnews River Salmon Monitoring and Assessment,
2008 ",NA
224,Chinook,Andrew Creek-Chinook,56.63997,-132.2,GOA,AK,1979,2004,14,3068,3612,,,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",NA
225,Chinook,Chickamin-Chinook,55.8174772,-130.93326,GOA,AK,1985,2004,20,8097,9337,,,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",NA
226,Chinook,Chilkat-Chinook,59.3721353,-135.94325,GOA,AK,1991,1997,7,8100,12932,,,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",NA
227,Chinook,King Salmon River-Chinook,58.0420026,-134.34145,GOA,AK,1982,2004,17,389,409,,,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",NA
228,Chinook,Stikine-Chinook,56.6917175,-132.21863,GOA,AK,1977,1997,21,58962,110134,,,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",NA
229,Chinook,Unuk-Chinook,56.0768125,-131.077,GOA,AK,1982,2004,21,10541,17147,,,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",NA
230,Chinook,Alsek/Klukshu-Chinook,60.11632,-137.033,GOA,AK,1976,1990,15,3104,8320,,,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",NA
231,Chinook,Situk-Chinook,59.4579521,-139.57143,GOA,AK,1977,1998,22,4330,16420,,,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",NA
232,Chinook,Keta-Chinook,55.3360159,-130.47574,GOA,AK,1998,2004,7,1233,1233,,,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",NA
233,Chinook,Blossom-Chinook,55.402008,-130.60741,GOA,AK,1998,2005,8,924,1626,,,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",NA
234,Chinook,Kuskokwim-Chinook,60.0407,-162.4261,BS,AK,1985,2003,18,242616,502455,,,"Fishery Data Series No. 12-49: Estimates of the Historic Run and Escapement for the
Chinook Salmon Stock Returning to the Kuskokwim
River, 1976Ð2011",NA
235,Chinook,Nushagak-Chinook,58.9061423,-157.73358,GOA,AK,1966,2005,40,331270,711779,,,"Fishery Manuscript Series No. 12-05: Stock Assessment of Chinook, Sockeye, and Chum
Salmon in the Nushagak River",NA
236,Chinook,Kenai (early)-Chinook,60.5096525,-151.10697,GOA,AK,1986,1994,9,18682,21816,,,"Fishery Data Series No. 03-02: Stock Assessment of Early-run Chinook Salmon
of the Kenai River, 1999-2001",NA
237,Chinook,Kenai (late)-Chinook,60.5096525,-151.10697,GOA,AK,1986,2000,15,47375,97397,,,"Fishery Data Series No. 10-96: Stock Assessment of Late-run Chinook Salmon in the
Kenai River, 1999Ð2006 ",NA
238,Chinook,Unalakleet-Chinook,63.89104,-160.47841,BS,AK,1996,1998,3,10842,7937,,,"Karalea Cantera, DFO, 2022",NA
239,Chinook,Cowichan-Chinook,48.7581,-123.6242,WC,BC,1989,2016,28,22300,29349,,,"Karalea Cantera, DFO, 2022",NA
240,Chinook,Harrison-Chinook,49.12,-123.06,WC,BC,1984,2016,33,247401,620514,,,"Chucken Parken, DFO, 2022",NA
241,Chinook,Lower Shuswap-Chinook,49.12,-123.06,WC,BC,1997,2016,20,71133,150198,,,"Chucken Parken, DFO, 2022",NA
242,Chinook,Nicola-Chinook,49.12,-123.06,WC,BC,1992,2013,22,17291,17044,,,"Luke Warkentin, DFO, 2022",NA
261,Chinook,Alsek-Klukshu-Chinook,59.1348,-138.6067,GOA,AK,1976,1990,15,3104,8320,,,"Curry Cunningham/Brian Burke, 2022",NA
262,Chinook,Bear Valley Creek-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,2377,6621,,,"Curry Cunningham/Brian Burke, 2022",NA
263,Chinook,Big Creek-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,1838,3595,,,"Curry Cunningham/Brian Burke, 2022",NA
264,Chinook,Camas Creek-Chinook,46.2508,-124.0143,WC,WA,1960,2008,42,554,1260,,,"Curry Cunningham/Brian Burke, 2022",NA
265,Chinook,Catherine Creek-Chinook,46.2508,-124.0143,WC,WA,1955,2007,53,3161,4852,,,"Curry Cunningham/Brian Burke, 2022",NA
266,Chinook,East Fork Salmon River-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,3747,8089,,,"Curry Cunningham/Brian Burke, 2022",NA
267,Chinook,East Fork South Fork Salmon River-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,1904,3043,,,"Curry Cunningham/Brian Burke, 2022",NA
268,Chinook,Entiat River-Chinook,46.2508,-124.0143,WC,WA,1960,2007,48,1489,2397,,,"Curry Cunningham/Brian Burke, 2022",NA
269,Chinook,Grande Ronde River Upper Mainstem-Chinook,46.2508,-124.0143,WC,WA,1955,2007,53,1029,2399,,,"Curry Cunningham/Brian Burke, 2022",NA
270,Chinook,Imnaha River Mainstem-Chinook,46.2508,-124.0143,WC,WA,1956,2007,52,6267,5254,,,"Curry Cunningham/Brian Burke, 2022",NA
271,Chinook,Lemhi River-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,3658,9378,,,"Curry Cunningham/Brian Burke, 2022",NA
272,Chinook,Loon Creek-Chinook,46.2508,-124.0143,WC,WA,1957,2008,38,1090,2163,,,"Curry Cunningham/Brian Burke, 2022",NA
273,Chinook,Marsh Creek-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,1845,3952,,,"Curry Cunningham/Brian Burke, 2022",NA
274,Chinook,Methow River-Chinook,46.2508,-124.0143,WC,WA,1960,2008,49,10971,11778,,,"Curry Cunningham/Brian Burke, 2022",NA
275,Chinook,Middle Fork Salmon River Lower Mainstem-Chinook,46.2508,-124.0143,WC,WA,1957,2008,35,246,369,,,"Curry Cunningham/Brian Burke, 2022",NA
276,Chinook,Middle Fork Salmon River Upper Mainstem-Chinook,46.2508,-124.0143,WC,WA,1957,2008,29,1814,2971,,,"Curry Cunningham/Brian Burke, 2022",NA
277,Chinook,Minam River-Chinook,46.2508,-124.0143,WC,WA,1956,2007,52,4104,3686,,,"Curry Cunningham/Brian Burke, 2022",NA
278,Chinook,Salmon River Lower Mainstem-Chinook,46.2508,-124.0143,WC,WA,1957,2008,45,4888,3300,,,"Curry Cunningham/Brian Burke, 2022",NA
279,Chinook,Salmon River Upper Mainstem-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,4612,6334,,,"Curry Cunningham/Brian Burke, 2022",NA
280,Chinook,Secesh River-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,1759,3006,,,"Curry Cunningham/Brian Burke, 2022",NA
281,Chinook,South Fork Salmon River-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,6310,9832,,,"Curry Cunningham/Brian Burke, 2022",NA
282,Chinook,Sulphur Creek-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,693,1399,,,"Curry Cunningham/Brian Burke, 2022",NA
283,Chinook,Tucannon River-Chinook,46.2508,-124.0143,WC,WA,1980,2006,27,852,1635,,,"Curry Cunningham/Brian Burke, 2022",NA
284,Chinook,Valley Creek-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,1431,2895,,,"Curry Cunningham/Brian Burke, 2022",NA
285,Chinook,Wallowa/Lostine Rivers-Chinook,46.2508,-124.0143,WC,WA,1959,2007,49,1585,4813,,,"Curry Cunningham/Brian Burke, 2022",NA
286,Chinook,Wenaha River-Chinook,46.2508,-124.0143,WC,WA,1963,2007,45,2682,4467,,,"Curry Cunningham/Brian Burke, 2022",NA
287,Chinook,Wenatchee River-Chinook,46.2508,-124.0143,WC,WA,1960,2007,48,6718,11039,,,"Curry Cunningham/Brian Burke, 2022",NA
288,Chinook,Yankee Fork-Chinook,46.2508,-124.0143,WC,WA,1960,2008,42,1934,2859,,,"Curry Cunningham/Brian Burke, 2022",NA
289,Chinook,Cedar River-Chinook,47.5039,-122.2169,WC,WA,1965,2010,46,2223,6753,,,"Curry Cunningham/Brian Burke, 2022",NA
290,Chinook,Green River-Chinook,47.5925,-122.36,WC,WA,1968,2011,44,11569,41177,,,"Curry Cunningham/Brian Burke, 2022",NA
291,Chinook,Lower Sauk River-Chinook,48.3677,-122.5141,WC,WA,1952,2010,59,3991,26076,,,"Curry Cunningham/Brian Burke, 2022",NA
292,Chinook,Lower Skagit River-Chinook,48.3677,-122.5141,WC,WA,1952,2010,59,9328,57603,,,"Curry Cunningham/Brian Burke, 2022",NA
293,Chinook,Mid-Hood Canal-Chinook,47.6393,-122.9299,WC,WA,1968,2010,43,1773,19355,,,"Curry Cunningham/Brian Burke, 2022",NA
294,Chinook,Nisqually River-Chinook,47.0996,-122.7029,WC,WA,1968,2010,43,3527,31559,,,"Curry Cunningham/Brian Burke, 2022",NA
295,Chinook,North Fork Stillaguamish River-Chinook,48.2465,-122.3957,WC,WA,1974,2010,37,1849,94076,,,"Curry Cunningham/Brian Burke, 2022",NA
296,Chinook,Puyallup River-Chinook,47.2472,-122.4289,WC,WA,1968,2011,44,5369,19442,,,"Curry Cunningham/Brian Burke, 2022",NA
297,Chinook,Skokomish River-Chinook,47.3436,-123.1212,WC,WA,1968,2010,43,3193,13853,,,"Curry Cunningham/Brian Burke, 2022",NA
298,Chinook,Skykomish River-Chinook,48.0206,-122.2122,WC,WA,1965,2010,46,7703,103029,,,"Curry Cunningham/Brian Burke, 2022",NA
299,Chinook,Snoqualmie River-Chinook,48.0206,-122.2122,WC,WA,1965,2010,46,3726,9412,,,"Curry Cunningham/Brian Burke, 2022",NA
300,Chinook,South Fork Stillaguamish River-Chinook,48.2465,-122.3957,WC,WA,1974,2010,37,391,14690,,,"Curry Cunningham/Brian Burke, 2022",NA
301,Chinook,Suiattle River-Chinook,48.3677,-122.5141,WC,WA,1952,2003,52,1807,9369,,,"Curry Cunningham/Brian Burke, 2022",NA
302,Chinook,Upper Sauk River-Chinook,48.3677,-122.5141,WC,WA,1952,2010,59,3425,22302,,,"Curry Cunningham/Brian Burke, 2022",NA
303,Chinook,Upper Skagit River-Chinook,48.3677,-122.5141,WC,WA,1952,2010,59,21183,111273,,,"Curry Cunningham/Brian Burke, 2022",NA
304,Chinook,White River-Chinook,47.2472,-122.4289,WC,WA,1965,2011,47,10734,7544,,,"Curry Cunningham/Brian Burke, 2022",NA
305,Chinook,Clackamas River-Chinook,46.2508,-124.0143,WC,OR,1974,2002,29,5592,11616,,,"Curry Cunningham/Brian Burke, 2022",NA
306,Chinook,Coweeman River-Chinook,46.2508,-124.0143,WC,OR,1964,2008,45,2549,4360,,,"Curry Cunningham/Brian Burke, 2022",NA
307,Chinook,Elochoman River-Chinook,46.2508,-124.0143,WC,OR,1964,2008,45,7893,15888,,,"Curry Cunningham/Brian Burke, 2022",NA
308,Chinook,Grays and Chinook Rivers-Chinook,46.2508,-124.0143,WC,OR,1964,2008,45,2685,5258,,,"Curry Cunningham/Brian Burke, 2022",NA
309,Chinook,Kalama River-Chinook,46.2508,-124.0143,WC,OR,1964,2008,45,24710,45859,,,"Curry Cunningham/Brian Burke, 2022",NA
310,Chinook,Lewis River Fall-run-Chinook,46.2508,-124.0143,WC,OR,1964,2008,45,2142,2449,,,"Curry Cunningham/Brian Burke, 2022",NA
311,Chinook,Lewis River Late fall-Chinook,46.2508,-124.0143,WC,OR,1964,2007,44,20058,37150,,,"Curry Cunningham/Brian Burke, 2022",NA
312,Chinook,Lower Cowlitz River-Chinook,46.2508,-124.0143,WC,OR,1964,2007,44,22758,43359,,,"Curry Cunningham/Brian Burke, 2022",NA
313,Chinook,McKenzie River-Chinook,46.2508,-124.0143,WC,OR,1970,2008,39,7795,13311,,,"Curry Cunningham/Brian Burke, 2022",NA
314,Chinook,Toutle River-Chinook,46.2508,-124.0143,WC,OR,1964,2008,32,13943,16811,,,"Curry Cunningham/Brian Burke, 2022",NA
315,Chinook,Upper Gorge Tributaries-Chinook,46.2508,-124.0143,WC,OR,1964,2003,40,1801,3004,,,"Curry Cunningham/Brian Burke, 2022",NA
316,Chinook,White Salmon River-Chinook,46.2508,-124.0143,WC,OR,1965,2003,39,11480,14887,,,"Curry Cunningham/Brian Burke, 2022",NA
317,Coho,Clackamas River-Coho,46.2508,-124.0143,WC,OR,1968,2010,43,14335,25697,,,"Curry Cunningham/Brian Burke, 2022",NA
318,Coho,Sandy River-Coho,46.2508,-124.0143,WC,OR,1974,2010,34,2558,7972,,,"Curry Cunningham/Brian Burke, 2022",NA
319,Coho,OCN Rivers-Coho,44.6175,-124.1093,WC,OR,1970,2014,45,330000,451152,,,"Curry Cunningham/Brian Burke, 2022",NA
320,Coho,OCN Lakes-Coho,44.6175,-124.1093,WC,OR,1970,2014,45,38700,171785,,,"Curry Cunningham/Brian Burke, 2022",NA
321,Coho,Clackamas River Early-Coho,46.2508,-124.0143,WC,OR,1973,2014,42,6940,7968,,,"Curry Cunningham/Brian Burke, 2022",NA
322,Coho,Clackamas River Late-Coho,46.2508,-124.0143,WC,OR,1973,2011,39,3067,11522,,,"Curry Cunningham/Brian Burke, 2022",NA
243,Coho,Buskin River-Coho,57.75812,-152.4784,GOA,AK,1989,2010,22,16235,21379,,,"Fishery Manuscript Series No. 16-09: Review of Salmon Escapement Goals in the Kodiak Management Area, 2016",NA
244,Coho,Kuskokwim River-Coho,61.10037,-160.9961,BS,AK,2000,2006,7,2375943,1752922,,,"Fishery Data Series No. 15-18:Â Estimates of the Historic Run and Escapement for the Coho Salmon Stock Returning to the Kuskokwim River, 2000â2012Â ",NA
245,Coho,Auke Creek-Coho,58.38052,-134.6419,GOA,AK,1980,1986,7,942,2006,,,"Escapement Goals for Coho Salmon Stocks Returning to Berners River, Auke Creek, Ford Arm Lake, and Hugh Smith Lake in Southeast Alaska",NA
246,Coho,Berners River-Coho,58.8464,-134.97,GOA,AK,1982,2010,27,41089,60491,,,Leon Shaul; RIR.1J.1994.26,NA
247,Coho,Ford Arm Lake-Coho,57.58192,-135.9153,GOA,AK,1982,1986,4,2662,5545,,,"Escapement Goals for Coho Salmon Stocks Returning to Berners River, Auke Creek, Ford Arm Lake, and Hugh Smith Lake in Southeast Alaska",NA
248,Coho,Hugh Smith Lake-Coho,55.09855,-130.6461,GOA,AK,1982,1986,5,2144,3698,,,"Escapement Goals for Coho Salmon Stocks Returning to Berners River, Auke Creek, Ford Arm Lake, and Hugh Smith Lake in Southeast Alaska",NA
249,Coho,Akwe River-Coho,59.2929349,-139.09307,GOA,AK,1972,1986,15,15000,31283,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
250,Coho,East Alsek River-Coho,59.10379,-138.5086,GOA,AK,1972,1988,17,13000,44378,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
251,Coho,Italio River-Coho,59.3129858,-139.15364,GOA,AK,1972,1988,16,8000,20955,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
252,Coho,Kaliakh River-Coho,60.0873,-142.9378,GOA,AK,1973,1988,12,37500,62664,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
253,Coho,Lost River-Coho,59.45382,-139.6239,GOA,AK,1972,1988,17,10400,35361,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
254,Coho,Situk River-Coho,59.44609,-139.5678,GOA,AK,1972,1988,17,14000,145631,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
255,Coho,Tsiu River-Coho,60.0777512,-143.09116,GOA,AK,1973,1988,16,52350,158677,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
256,Coho,Middle_Fraser-Coho,49.12,-123.06,WC,BC,1998,2016,19,13600,13251,,,"Michael Arbeider, DFO, 2022",NA
257,Coho,Fraser_Canyon-Coho,49.12,-123.06,WC,BC,1998,2016,19,5971,6684,,,"Michael Arbeider, DFO, 2022",NA
258,Coho,Lower_Thompson-Coho,49.12,-123.06,WC,BC,1998,2016,19,16053,15582,,,"Michael Arbeider, DFO, 2022",NA
259,Coho,North_Thompson-Coho,49.12,-123.06,WC,BC,1998,2016,19,27238,26750,,,"Michael Arbeider, DFO, 2022",NA
260,Coho,South_Thompson-Coho,49.12,-123.06,WC,BC,1998,2016,19,15850,17619,,,"Michael Arbeider, DFO, 2022",NA
